Sl no.,Duration (in seconds),AIToolName_1,AIToolName_2,AIToolName_3,AIToolName_4,AIToolName_5,S1_1,S1_2,S1_3,S1_4,S1_5,HM_1,HM_2,HM_3,HM_4,Asp_1,Asp_2,Asp_3,Asp_4,Asp_5,Who,How ,Why,When_1,When_2,When_3,When_4,When_5,PE_1,PE_2,PE_3,PE_4,PE_5,EE_1,EE_2,EE_3,EE_4,AC_1,PA_1,PA_2,PA_3,PA_4,PA_5,PA_6,PA_7,PA_8,PA_9,PA_10,NA_1,NA_2,NA_3,NA_4,NA_5,NA_6,NA_7,NA_8,NA_9,NA_10,AIUse_1,AIUse_2,AIUse_3,AIUse_4,AIUse_5,AIUse_6,AIUse_7,AIUse_8,AIUse_9,AIObj_1,AIObj_2,AIObj_3,AIObj_4,AIObj_5,AIObj_6,AIObj_7,AIObj_8,AC_2,AITask_1,AITask_2,AITask_3,AITask_4,AITask_5,AITask_7,AITask_8,AITask_6,Freq,AIL_1,AIL_2,AIL_3,AIL_4,AIL_5,AIL_6,AIL_7,AIL_8,AC_3,Gender,Age,WrkExp,AIExp,WhoHuman,WhoAgent,WhoBoth,WhoNotSure,HowContinuously,HowDiscretely,HowBoth,HowNotSure,HowNever,WhyPreEmptively,WhyCorrectively,WhyBoth,WhyNotSure,WhyNever,LevelOfAutonomy,PATotal,NATotal,PAScaled,NAScaled
169,549,chatgpt,jasper,,,,1,2,2,4,1,6,7,6,6,1,1,,1,,3,3,3,,,1,,,5,5,5,4,6,6,6,7,6,1,78,77,61,94,43,77,60,79,80,80,0,0,0,0,0,0,0,0,0,0,5,5,5,5,6,6,6,6,4,1,1,1,1,1,1,1,1,7,,,,,1,1,,,2,5,6,6,6,6,6,5,6,1,1,40,20,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,729,0,5.1,0
170,419,Chat GPT,,,,,5,5,5,6,6,4,6,5,6,,,,,1,4,4,3,,,,1,,5,4,6,4,7,6,5,3,5,1,73,89,55,80,49,70,80,31,55,44,10,11,73,49,38,11,36,42,13,48,2,5,3,3,3,5,6,5,5,3,3,3,5,3,2,3,3,7,,,,,1,1,1,,1,5,5,3,3,5,5,5,5,1,1,40,15,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,626,331,4.38,2.32
171,240,Chat GPT,,,,,5,5,5,6,5,5,5,4,5,,,,1,,3,2,3,,,1,,,5,5,5,5,5,5,6,6,6,1,33,54,48,56,52,51,58,64,50,43,32,25,31,14,14,14,14,12,12,13,5,5,5,5,5,6,5,6,6,3,3,5,3,3,5,5,5,7,1,1,,,,,1,,3,6,6,6,6,6,4,4,5,1,1,31,13,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,509,181,3.56,1.27
172,791,copilot,chat gpt,,,,1,5,1,4,5,6,6,6,6,1,1,,1,,3,1,3,,,1,,,5,5,5,3,6,6,6,6,6,1,70,70,71,70,50,99,70,70,70,70,0,0,0,0,0,0,0,0,0,0,6,6,6,6,4,6,6,6,6,2,2,2,1,2,3,2,4,7,1,1,,1,,1,,,1,4,5,6,6,6,5,5,5,1,2,27,5,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,710,0,4.97,0
173,578,TeachMateAi,,,,,3,6,3,5,5,7,7,7,7,1,1,1,1,,3,1,3,,,1,,,6,6,6,6,6,7,7,7,7,1,85,70,60,80,40,20,10,40,20,20,0,0,60,0,0,0,10,0,0,0,5,5,5,2,2,2,2,2,2,3,2,2,3,2,5,2,2,7,1,,,,1,1,1,,4,6,7,5,7,5,6,3,5,1,1,57,39,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,445,70,3.12,0.49
174,326,Chatgpt,,,,,3,3,4,2,3,5,5,5,5,1,1,1,1,,1,2,1,,,,,1,3,3,3,5,5,5,5,5,5,1,67,55,44,68,49,50,44,36,56,31,24,24,63,54,55,34,47,58,54,58,5,5,5,4,4,4,5,5,4,3,3,3,5,3,3,3,4,7,,,,,,1,1,,5,5,4,5,5,7,3,3,3,1,2,39,17,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,500,471,3.5,3.3
175,359,ChatGPT,,,,,4,3,4,3,3,4,4,4,5,1,1,1,1,,1,1,3,,,1,,,5,6,6,5,7,7,7,7,7,1,20,0,0,20,0,40,0,0,60,57,0,0,0,0,0,10,0,0,0,0,5,4,5,3,5,5,5,3,3,2,3,1,1,2,3,1,3,7,,1,,,1,1,,,1,7,7,7,7,7,6,7,7,1,2,19,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,197,10,1.38,0.07
176,437,Google Gemini,Chat GPT,,,,3,4,4,5,5,4,5,4,6,1,1,,1,,1,2,1,1,,1,,,5,5,6,5,6,6,5,6,5,1,80,55,61,55,41,39,63,62,60,47,11,9,32,10,10,23,14,19,0,5,4,5,5,4,5,5,4,4,5,3,3,5,2,3,4,4,5,7,1,1,,,,1,,,2,5,6,4,6,6,5,5,5,1,2,27,5,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,563,133,3.94,0.93
177,244,Chat ,,,,,3,3,2,2,3,4,4,5,5,,,,,1,2,3,2,,,1,,,2,2,4,2,3,5,2,5,3,1,20,41,24,38,19,19,43,24,20,23,42,40,41,42,62,60,24,42,41,42,5,3,2,3,4,3,5,3,3,5,4,5,5,7,7,5,7,7,,1,,,1,1,,,3,4,3,7,4,4,7,7,7,1,1,46,25,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,271,436,1.9,3.05
178,377,Chat GPT,AI Picture Generator,Google ,,,2,4,4,4,4,5,5,5,5,1,1,1,1,,1,4,3,,,,1,,4,4,4,4,5,6,6,6,6,1,71,80,80,80,57,80,75,75,76,75,33,33,64,33,10,10,9,36,30,11,5,6,6,5,5,5,5,5,5,1,2,2,2,2,2,2,4,7,,,1,1,1,1,,,3,5,3,4,4,5,4,4,4,1,1,47,28,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,749,269,5.24,1.88
179,379,chatgbt,,,,,1,2,1,2,1,4,4,5,4,1,1,1,1,,1,1,1,,,1,,,4,2,5,5,6,5,6,6,6,1,59,25,26,27,1,83,19,69,92,29,1,0,40,0,0,0,9,0,0,0,6,5,5,1,6,7,6,6,6,4,5,3,1,2,3,1,3,7,,,,,1,,,,3,4,5,4,5,5,5,5,6,1,2,68,45,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,430,50,3.01,0.35
180,340,Chat GBT,,,,,2,4,6,6,6,6,6,6,6,1,1,,1,,3,2,2,,,,1,,3,3,5,2,6,6,6,6,6,1,55,39,15,81,7,30,92,56,69,21,0,0,8,0,0,0,0,0,0,0,3,6,2,6,2,6,6,6,6,6,3,3,6,3,6,2,3,7,,,,1,1,1,1,,3,2,3,2,6,6,7,6,6,1,1,31,15,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,465,8,3.26,0.06
181,313,chat gpt,,,,,1,4,1,1,1,6,6,6,6,1,1,1,1,,1,2,3,,,,1,,4,2,2,2,2,6,6,6,6,1,55,56,36,63,39,62,62,24,60,38,20,41,40,18,42,23,40,20,21,24,1,2,1,2,2,5,5,1,2,3,5,2,2,2,2,2,2,7,,,,,1,1,,,3,2,1,5,5,6,5,5,5,1,1,25,5,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,495,289,3.47,2.02
182,289,ChatGPT,,,,,1,4,1,5,6,7,7,7,7,,,,1,,3,1,3,,,,,1,7,5,7,6,7,7,7,7,7,1,99,71,90,99,52,100,100,99,99,11,0,0,0,0,1,0,0,0,0,0,5,5,5,1,4,1,6,5,4,1,1,1,1,1,1,1,1,7,,1,,,,,1,,3,4,4,5,6,5,6,6,7,1,1,45,30,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,820,1,5.74,0.01
183,270,ChatGPT,,,,,3,4,5,4,4,5,5,5,5,,,,1,,3,2,3,1,,1,,,1,2,4,2,5,6,5,6,4,1,85,55,27,55,0,0,0,58,59,59,0,56,20,0,0,58,23,0,0,0,4,4,4,3,6,5,4,6,5,3,4,5,5,5,3,3,4,7,,,,1,,,1,,1,5,4,6,6,6,6,5,5,1,1,47,23,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,398,157,2.79,1.1
184,330,ChatGPT,,,,,1,6,3,4,5,5,5,5,6,1,,,1,,1,1,3,,,,1,,3,3,5,6,6,6,7,7,6,1,80,18,0,59,17,100,75,71,100,56,0,0,0,0,0,0,0,0,0,0,6,6,7,3,1,1,1,4,3,2,2,2,2,2,1,2,2,7,,,,,1,,,,1,5,5,4,5,7,3,5,5,1,2,33,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,576,0,4.03,0
185,435,Bing Copilot,Adobe AI tools baked into Creative Cloud,,,,2,6,3,4,6,6,6,5,6,1,1,1,1,,1,2,1,,,,1,,5,5,5,6,5,6,6,6,5,1,75,50,10,70,20,60,60,20,20,10,10,5,5,5,5,5,0,0,0,0,4,4,5,5,5,5,6,5,5,3,2,4,2,2,2,2,2,7,,,,,1,,,,1,4,6,5,5,6,3,3,5,1,2,41,21,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,395,35,2.77,0.25
186,433,chatgpt,,,,,4,5,4,4,5,5,5,5,5,1,1,,1,,4,4,1,,,1,,,5,5,5,4,5,5,5,5,5,1,56,45,39,52,52,52,50,55,49,50,8,7,7,9,8,15,8,18,9,10,4,4,4,4,4,4,4,4,5,3,2,4,3,2,4,3,3,7,,1,,,,,,,3,4,4,5,5,5,4,4,4,1,1,44,20,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4,500,99,3.5,0.69
187,431,ChatGPT,Amazon Rekognition,,,,1,1,3,1,1,3,3,4,4,1,1,1,1,,1,1,1,,,1,,,3,4,3,3,5,7,4,7,6,1,20,0,0,20,0,50,0,69,100,40,0,0,0,0,0,0,0,0,0,0,3,4,3,4,4,5,5,6,5,3,1,3,1,1,1,3,3,7,1,,,,,1,,,1,7,7,5,5,6,4,4,3,1,2,46,25,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,299,0,2.09,0
188,573,gemmini,ai ml tools,,,,1,4,1,4,4,4,5,5,5,,1,1,,,1,2,3,,,,1,,4,3,5,2,5,5,5,5,5,1,80,5,6,20,5,80,20,80,80,20,1,2,1,1,21,20,0,19,4,0,5,6,7,6,5,6,6,6,5,7,5,2,6,5,5,3,6,7,1,1,1,1,,,1,,1,2,6,3,5,7,2,2,3,1,1,62,30,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,396,69,2.77,0.48
189,293,Chat GPT,Bing AI Image Creator,,,,5,6,4,6,5,7,6,7,6,1,1,1,1,,1,1,3,,,1,,,6,2,5,5,6,6,6,6,6,1,76,68,26,62,50,76,62,62,63,45,24,18,31,0,0,19,1,9,1,0,6,5,2,6,6,6,6,6,6,1,2,1,1,2,2,2,5,7,,1,,1,1,1,,,1,6,6,6,6,6,7,6,7,1,2,26,10,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,590,103,4.13,0.72
190,750,ChatGPT,Gemini,,,,3,4,5,4,4,6,6,6,6,1,1,,,,1,1,3,,,1,,,7,7,7,7,7,7,7,7,7,1,93,85,68,86,82,84,85,63,72,56,0,0,0,0,0,0,0,0,0,0,6,6,6,4,6,6,6,5,5,1,1,1,1,1,1,1,4,7,,,,1,1,,,,3,4,6,6,6,6,3,3,3,1,2,45,25,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,774,0,5.42,0
191,303,ChatGTP,CoPilot,,,,4,5,4,4,5,5,5,5,5,1,1,1,1,,3,3,3,,,1,,,6,6,6,6,6,5,5,5,5,1,74,50,46,45,27,69,44,64,74,72,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,7,,1,1,,1,1,,,3,5,5,5,5,5,5,5,5,1,2,60,44,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,565,0,3.96,0
192,379,Copilot ,ChatGPT ,,,,4,5,3,5,5,3,3,3,3,1,1,,1,,1,1,3,,,1,,,5,5,6,4,4,6,5,5,5,1,41,29,33,39,49,35,42,34,57,29,16,20,22,11,12,27,4,16,9,12,5,5,3,3,4,2,3,2,4,3,3,5,6,4,6,6,6,7,1,,,,1,,1,,3,5,5,5,5,5,3,3,3,1,2,40,18,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,388,149,2.72,1.04
193,509,ChatGPT,Alexa,,,,3,5,2,6,5,7,7,7,6,,,,1,,3,3,1,,,1,,,6,5,6,2,7,6,6,7,6,1,83,80,50,80,50,64,90,87,64,81,5,2,40,9,3,8,28,5,3,3,2,7,2,2,5,5,6,6,6,1,2,1,3,2,2,5,3,7,,1,,,1,1,,,3,6,6,6,7,6,3,3,6,1,1,29,5,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,729,106,5.1,0.74
194,395,chat gpt,gemeni,,,,5,6,6,6,6,7,7,7,7,1,1,,,,1,1,2,,,,1,,4,4,4,5,5,6,6,7,5,1,100,91,71,100,100,90,100,100,100,100,1,0,40,8,1,1,1,20,1,0,4,6,6,6,3,7,5,6,5,1,1,1,1,1,1,1,1,7,,,,,1,1,1,,2,4,2,5,5,7,4,4,4,1,2,41,17,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,952,73,6.66,0.51
195,506,chat gpt,,,,,2,3,5,2,5,6,6,6,6,,1,,1,,1,1,3,,,,1,,3,4,5,3,6,6,6,6,6,1,79,60,19,57,58,69,75,63,66,20,5,4,26,9,3,2,12,3,2,3,6,6,5,5,5,5,5,6,5,2,2,2,2,2,3,2,2,7,,,,,1,,,,4,6,6,6,5,6,5,5,5,1,1,25,3,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,566,69,3.96,0.48
196,1486,ChatGPT,Bing copilot,,,,1,1,1,1,1,7,7,7,7,1,1,,1,,1,1,1,,,1,,,5,5,6,5,7,6,6,7,6,1,100,80,88,100,81,73,94,84,93,69,1,1,1,1,1,1,1,1,1,1,7,7,7,5,6,5,5,7,5,1,1,1,1,1,1,1,1,7,,,,,1,,,,1,5,5,5,5,5,5,5,5,1,1,45,29,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,862,10,6.03,0.07
197,307,CHATGPT,PowerAutomate,,,,3,3,4,4,4,6,6,6,6,1,1,1,1,,1,1,1,,,1,,,6,3,4,3,5,6,7,7,5,1,74,82,67,78,57,63,71,71,60,75,0,0,40,0,0,0,18,1,0,0,3,5,4,3,5,4,3,5,4,3,4,4,3,3,3,4,4,7,1,,,,1,,,,4,4,5,6,6,5,5,4,5,1,1,41,25,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,698,59,4.89,0.41
198,347,chat gpt,,,,,5,7,6,6,6,4,6,7,6,1,1,1,1,,1,4,4,,,1,,,5,5,5,6,5,6,6,5,5,1,71,60,75,56,58,48,63,46,75,63,80,79,97,16,15,12,5,8,6,7,6,5,5,5,4,5,5,4,6,3,3,4,3,5,6,2,5,7,,,,,1,1,,,3,7,6,6,6,7,6,5,5,1,1,21,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4,615,325,4.31,2.28
199,432,ChatGPT,,,,,4,6,5,6,6,4,6,4,6,1,1,1,1,,2,1,2,,,1,,,6,6,6,6,6,6,6,6,6,1,82,82,82,66,65,44,39,60,81,61,20,22,22,18,19,20,20,19,20,20,3,5,3,6,6,6,5,5,6,2,1,2,2,2,4,2,4,7,1,,,1,,,1,,1,6,6,5,6,6,5,2,3,1,2,38,15,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,662,200,4.63,1.4
200,425,Chat GBT,,,,,3,3,3,3,3,5,5,5,5,,,,,1,3,3,3,,,1,,,3,3,4,3,5,5,5,5,5,1,79,40,51,80,20,59,51,52,50,54,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,3,3,3,3,3,4,3,3,7,,,,,1,,,,5,3,4,3,3,5,5,5,5,1,1,56,26,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,536,0,3.75,0
201,415,chatgbt,quibot,,,,6,6,6,6,6,6,6,6,6,1,,1,,,1,1,3,1,,,,,5,2,6,2,6,6,6,6,6,1,74,86,78,76,75,56,74,60,63,61,5,3,3,5,6,6,0,0,0,0,7,6,7,6,6,6,6,6,7,6,6,2,6,6,6,2,6,7,,,,1,,,,,1,5,5,6,5,5,5,5,5,1,1,54,30,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,703,28,4.92,0.2
202,370,Chat GPT,,,,,4,6,4,6,5,5,6,5,4,,,,1,,1,1,3,,,,1,,4,3,4,4,6,5,3,5,4,1,75,50,50,60,50,60,65,65,80,75,0,0,0,0,0,0,0,0,0,0,3,5,4,5,6,5,6,4,5,4,2,2,2,4,4,3,4,7,1,1,,,,,,,3,5,5,4,4,5,4,3,6,1,2,37,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,630,0,4.41,0
203,402,Chat GPT,Gemini,,,,3,4,4,4,5,6,6,6,6,1,1,,1,,1,1,1,1,,1,,,5,5,6,4,6,6,6,6,6,1,85,51,35,81,65,87,73,49,87,44,0,0,16,0,0,0,0,0,0,0,5,5,5,4,5,5,4,5,4,2,3,2,1,2,2,1,2,7,,1,,,1,1,,,3,5,6,5,5,6,5,5,5,1,2,47,28,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,657,16,4.6,0.11
204,374,chatgpt,,,,,4,4,4,4,4,4,4,4,4,1,,,1,,1,1,1,,,1,,,5,5,5,5,5,5,4,4,4,1,50,51,51,50,50,50,50,50,50,49,50,49,49,51,49,49,50,51,49,49,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,7,,,,,1,,,,3,4,4,4,4,4,4,4,4,1,2,26,6,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,501,496,3.51,3.47
205,876,ChatGPT,,,,,3,5,3,5,5,4,6,5,5,1,1,1,1,,1,3,2,,,1,,,5,5,5,5,5,6,6,6,6,1,82,52,73,73,62,76,75,75,74,58,5,4,12,12,22,13,14,19,14,15,5,5,5,5,5,5,5,5,5,3,2,5,3,2,6,2,4,7,,,,1,,,,,5,5,5,5,5,5,5,5,5,1,1,35,18,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4,700,130,4.9,0.91
206,476,Chatgpt,,,,,3,4,3,4,4,4,5,5,5,1,1,1,1,,1,1,1,1,,,,,5,5,4,5,4,4,5,5,5,1,60,50,20,60,50,75,65,75,75,75,10,5,20,5,0,0,0,20,0,5,6,4,6,6,6,6,6,6,6,4,3,3,5,3,3,4,5,7,,1,,,1,1,,,2,4,5,2,5,2,5,3,3,1,2,63,45,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,605,65,4.24,0.46
207,364,Chat GPT,Microsoft,,,,3,4,3,4,4,4,5,4,5,,,,1,,3,3,3,,,1,,,4,3,4,4,5,5,6,5,5,1,46,19,18,37,19,70,53,65,70,62,0,0,0,0,0,2,0,0,0,0,3,3,3,4,3,4,4,4,4,3,3,2,2,4,3,3,4,7,,1,,,1,,,,3,5,6,5,6,6,5,5,5,1,1,57,30,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,459,2,3.21,0.01
208,357,Microsoft AI,Chat GPT,,,,2,2,1,4,4,3,4,3,5,1,1,1,,,3,3,3,,,,1,,7,6,6,6,7,6,6,6,5,1,77,53,54,74,31,58,63,55,80,60,6,5,0,8,4,4,4,16,7,9,5,6,6,4,6,7,6,6,5,1,1,1,2,2,3,1,3,7,,1,1,,1,1,,,1,3,5,6,6,6,6,5,6,1,1,34,19,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,605,63,4.24,0.44
209,253,chatGPT,,,,,4,4,4,4,6,6,6,5,6,1,,1,1,,1,1,3,,,1,,,4,5,5,5,6,6,6,6,6,1,72,64,56,65,59,61,71,72,82,65,12,10,20,13,4,7,4,11,8,7,4,5,5,5,5,5,6,4,6,2,2,4,2,1,3,3,3,7,1,1,,,,,,,1,4,4,5,5,6,5,4,6,1,2,36,16,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,667,96,4.67,0.67
210,443,chat gpt,bard,,,,3,2,3,2,2,3,4,4,4,,,1,,,1,1,1,,,1,,,2,2,4,3,3,5,5,6,5,1,55,36,27,38,23,40,25,46,54,48,14,4,42,21,15,15,12,6,3,7,6,4,3,3,5,4,5,3,3,4,4,3,3,5,3,3,3,7,,,,,1,,,,6,5,5,5,4,5,6,4,6,1,1,51,26,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,392,139,2.74,0.97
211,333,Chat GPT,Notion AI,,,,1,5,1,4,4,5,5,5,5,1,1,1,1,,1,1,1,,,,1,,4,4,4,4,5,5,5,5,5,1,62,39,36,47,40,57,47,45,46,52,3,4,4,3,2,3,2,12,2,2,3,5,1,4,4,4,4,5,2,1,1,1,2,1,1,1,1,7,,,,,1,1,,,5,5,4,4,5,5,4,5,5,1,1,32,17,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,471,37,3.3,0.26
212,547,ChatGPT,,,,,3,4,3,4,6,5,5,4,5,1,1,1,,,3,3,1,,,1,,,6,5,5,5,5,5,5,5,5,1,73,30,80,73,40,72,70,81,81,81,30,29,17,10,6,9,14,76,14,12,3,6,3,5,4,5,5,5,5,3,2,3,3,2,5,3,3,7,1,1,1,,,,1,,5,6,6,6,6,6,5,6,5,1,1,47,19,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,681,217,4.77,1.52
213,269,Chat GPT,Midjourney,Canva,,,2,6,5,6,6,5,6,5,6,1,1,1,1,,3,3,3,1,1,1,,,6,6,6,6,7,6,6,6,6,1,72,68,65,68,20,60,65,62,65,30,8,0,15,1,0,3,0,5,2,1,5,5,5,5,5,5,6,6,6,1,2,1,2,2,1,2,2,7,1,1,1,1,1,1,,,1,6,6,5,6,6,5,5,5,1,2,29,11,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,575,35,4.03,0.25
214,421,chat gpt,,,,,1,4,1,4,4,5,5,5,5,1,,,,,3,1,1,,,1,,,1,1,1,1,1,6,5,6,4,1,28,15,14,14,12,10,14,14,12,15,0,0,0,0,0,0,0,0,0,0,4,5,3,4,4,5,4,2,2,2,4,3,3,3,3,5,3,7,,,,,1,,,,5,3,3,3,3,5,4,4,5,1,2,36,23,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,148,0,1.04,0
215,213,char gpt,,,,,1,2,2,1,1,3,2,3,3,,1,1,1,,1,1,1,,,,1,,4,3,2,1,2,4,4,5,4,1,81,39,55,27,28,50,39,63,59,66,23,23,24,24,58,53,21,35,35,33,5,5,6,5,5,6,6,5,5,5,5,6,6,6,5,5,6,7,,,,1,,,,,5,4,4,4,4,4,5,6,3,1,2,33,21,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,507,329,3.55,2.3
216,623,Chat GPT,,,,,2,2,2,3,2,6,6,6,6,,,1,1,,1,2,2,,,1,,,6,6,6,4,5,5,4,6,6,1,72,73,55,51,37,39,10,17,48,28,9,5,70,12,7,9,12,40,9,43,3,5,5,2,5,3,6,4,4,2,2,2,4,4,3,3,3,7,,1,,,,1,,,5,3,2,1,5,6,2,1,2,1,1,34,13,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,430,216,3.01,1.51
217,338,Chat gpt,,,,,2,3,2,4,4,6,6,5,6,1,,1,1,,1,3,2,1,,1,,,4,2,3,2,5,6,6,7,6,1,69,46,74,49,28,63,63,55,45,100,7,10,6,0,0,0,0,9,3,2,6,6,5,6,7,6,6,6,4,1,2,1,7,1,2,2,2,7,,1,,,,1,,,2,7,6,6,6,6,6,5,5,1,1,36,11,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,592,37,4.14,0.26
218,558,ChatGPT,,,,,2,2,2,2,2,4,4,4,4,,,1,,,4,5,5,,,,1,,4,4,5,5,5,5,5,6,5,1,40,5,14,7,14,28,9,16,34,10,5,2,37,17,3,3,12,11,3,3,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,2,2,7,,,,,1,1,,,5,4,5,3,4,3,4,4,5,1,1,31,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,177,96,1.24,0.67
219,418,Chatgpt ,,,,,1,5,2,4,5,3,3,3,5,1,,,1,,3,2,3,,,1,,,2,3,4,3,5,6,6,7,7,1,66,19,0,34,0,0,44,20,61,0,0,0,19,0,0,0,0,11,0,0,6,5,4,5,4,7,5,5,5,2,3,5,3,3,2,2,5,7,1,1,,,,1,1,,1,6,6,5,6,6,3,2,5,1,1,29,5,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,244,30,1.71,0.21
220,210,CHATGPT,,,,,5,5,5,5,6,6,5,5,4,1,,1,,,3,3,3,,1,1,,,4,4,5,4,5,5,6,5,4,1,59,56,33,64,42,48,42,53,73,59,21,27,11,54,22,16,14,12,20,39,5,5,4,5,4,5,4,4,4,3,4,4,4,4,5,6,5,7,,,1,1,,,1,,3,4,5,5,4,5,5,5,5,1,2,31,7,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,529,236,3.7,1.65
221,831,Chat GTP,Google AI,,,,3,5,2,5,5,2,6,3,6,1,1,,1,,3,2,3,1,,1,,,5,5,6,5,6,7,7,7,7,1,81,18,58,80,53,68,81,80,80,94,0,0,0,0,0,0,0,0,0,0,5,5,6,6,3,6,7,6,5,1,1,1,1,1,2,1,5,7,1,1,1,,,1,,,1,7,7,6,6,6,6,6,7,1,2,43,23,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,693,0,4.85,0
222,577,ChatGPT,,,,,6,6,6,5,5,6,6,6,5,,1,,1,,3,4,3,,,,1,,3,5,5,3,4,5,5,6,5,1,96,84,91,85,77,74,98,83,86,91,3,64,1,0,1,1,0,2,0,2,5,5,5,5,4,5,6,5,6,2,2,2,2,2,6,2,3,7,,,,1,,,1,,1,5,6,5,5,5,5,6,7,1,1,36,11,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,865,74,6.06,0.52
223,298,OCR,ChaGPT,,,,1,5,2,5,5,4,5,4,5,1,1,1,1,,3,2,4,,,,1,,6,6,6,4,6,6,6,6,6,1,40,17,17,75,5,34,12,41,4,35,2,1,1,2,4,2,4,3,2,3,5,5,2,5,4,6,5,5,4,2,2,2,2,2,2,2,4,7,1,1,,,1,,,,2,6,4,5,6,2,6,6,6,1,1,26,10,7,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,280,24,1.96,0.17
224,405,chat GPT,,,,,3,4,3,4,3,5,5,4,4,1,1,1,1,,1,2,2,,,1,,,5,5,5,4,5,5,5,5,4,1,52,60,51,60,32,60,60,60,57,57,5,4,2,2,2,4,1,2,2,1,5,4,5,4,5,4,4,4,4,2,2,2,3,3,3,2,4,7,,1,,,,,1,,4,5,5,3,5,5,4,4,4,1,2,68,43,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,549,25,3.84,0.18
225,819,chat-gpt,midharvest,dalle-3,prof synapse,keymate,6,5,3,4,4,6,6,6,6,1,1,1,1,,1,1,3,1,,1,,,3,3,6,4,6,6,6,6,6,1,90,65,56,76,60,80,90,59,80,50,0,0,0,0,0,0,0,0,0,0,6,6,5,6,5,6,6,6,6,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,,,1,5,5,6,6,6,5,5,5,1,2,71,53,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,706,0,4.94,0
